session,cash,position_value,equity,open_positions,exposure_pct,daily_return,running_peak,drawdown_pct,benchmark_equity
2022-03-10,112327.13967520095,36477.0,148804.13967520095,1,0.24513430929824528,0.002955098056964145,164319.00849060089,-0.09441919688973413,205566.3962206018
2022-03-11,112327.13967520095,35894.14,148221.27967520093,1,0.24216590275468716,-0.003916960921061974,164319.00849060089,-0.09796632150638099,202952.6548218137
2022-03-14,147607.72327610097,0.0,147607.72327610097,0,0.0,-0.004139462298830887,164319.00849060089,-0.10170025591078108,201468.62483311078
2022-03-15,147607.72327610097,0.0,147607.72327610097,0,0.0,0.0,164319.00849060089,-0.10170025591078108,205900.17459176338
2022-03-16,75804.35504110096,72475.32,148279.67504110097,2,0.48877447283257736,0.004552280531711084,164319.00849060089,-0.0976109434741226,210465.23569888054
2022-03-17,4079.6013311009738,146470.16999999998,150549.77133110096,4,0.9729019759045081,0.015309558031947113,164319.00849060089,-0.08379576584584572,213099.51730512475
2022-03-18,4079.6013311009738,148271.81,152351.41133110097,4,0.9732224250799036,0.011967072311506177,164319.00849060089,-0.07283148352361477,215435.96590325562
2022-03-21,4079.6013311009738,147645.04,151724.64133110098,4,0.973111807710929,-0.004113975673240344,164319.00849060089,-0.076645832245393,215369.2102290233
2022-03-22,4079.6013311009738,149464.78999999998,153544.39133110095,4,0.9734304763870939,0.011993767024492952,164319.00849060089,-0.06557133747624971,217890.52069425897
2022-03-23,4079.6013311009738,147291.13,151370.73133110098,4,0.9730489421883187,-0.014156557469512054,164319.00849060089,-0.07879963053842644,215086.78237650197
2022-03-24,4079.6013311009738,149486.02000000002,153565.621331101,4,0.9734341495463689,0.014500095102262689,164319.00849060089,-0.06544213757299412,218327.00010270101
2022-03-25,4079.6013311009738,149845.99,153925.59133110096,4,0.9734962763772947,0.002344079338069127,164319.00849060089,-0.06325145979744899,219395.09089041798
2022-03-28,4079.6013311009738,150811.67,154891.271331101,4,0.9736615156164593,0.0062736806248337995,164319.00849060089,-0.057374598630438846,220920.20129403306
2022-03-29,4079.6013311009738,153301.32,157380.92133110098,4,0.9740781709968629,0.016073533250805516,164319.00849060089,-0.04222327789847129,223677.72414501384
2022-03-30,79800.98619110098,76071.93,155872.91619110096,2,0.4880381522261086,-0.009581880238376916,164319.00849060089,-0.05140057974475331,222347.74571223167
2022-03-31,154931.391451101,0.0,154931.391451101,0,0.0,-0.0060403356978684375,164319.00849060089,-0.05713043868589839,218886.7207558796
2022-04-01,154931.391451101,0.0,154931.391451101,0,0.0,0.0,164319.00849060089,-0.05713043868589839,219502.92697956247
2022-04-04,117303.73250110098,37615.54,154919.272501101,1,0.2428073627813652,-7.822139778446147e-05,164319.00849060089,-0.05720419126091285,221387.49101365922
2022-04-05,116391.65213510097,37568.700000000004,153960.35213510098,1,0.2440154200675852,-0.006189806797557651,164319.00849060089,-0.06303991516655494,218588.88774776622
